hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
bertweet,,,none,other,not_inference_required,,,,Folder has no PyTorch modeling file — tokenizer-only (Twitter BERTweet); reuses RoBERTa architecture.
big_bird,big_bird/modeling_big_bird.py,BigBirdEmbeddings;BigBirdSelfAttention;BigBirdBlockSparseAttention;BigBirdAttention;BigBirdIntermediate;BigBirdLayer;BigBirdEncoder;BigBirdPredictionHeadTransform;BigBirdLMPredictionHead;BigBirdOnlyMLMHead;BigBirdOnlyNSPHead;BigBirdPreTrainingHeads;BigBirdModel;BigBirdForPreTraining;BigBirdForMaskedLM;BigBirdForCausalLM;BigBirdClassificationHead;BigBirdForSequenceClassification;BigBirdForMultipleChoice;BigBirdForTokenClassification;BigBirdForQuestionAnsweringHead;BigBirdForQuestionAnswering,text,encoder,composable,BigBirdEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BigBirdSelfAttention->tasks/baseline/L2/encoder_attention.py;BigBirdBlockSparseAttention->composes;BigBirdAttention->composes;BigBirdIntermediate->tasks/baseline/L2/encoder_mlp.py;BigBirdLayer->composes;BigBirdEncoder->composes;BigBirdPredictionHeadTransform->composes;BigBirdLMPredictionHead->composes;BigBirdOnlyMLMHead->composes;BigBirdOnlyNSPHead->composes;BigBirdPreTrainingHeads->composes;BigBirdModel->composes;BigBirdForPreTraining->composes;BigBirdForMaskedLM->composes;BigBirdForCausalLM->composes;BigBirdClassificationHead->composes;BigBirdForSequenceClassification->composes;BigBirdForMultipleChoice->composes;BigBirdForTokenClassification->composes;BigBirdForQuestionAnsweringHead->composes;BigBirdForQuestionAnswering->composes,,big_bird/modeling_big_bird.py:69;big_bird/modeling_big_bird.py:135;big_bird/modeling_big_bird.py:213;big_bird/modeling_big_bird.py:1109;big_bird/modeling_big_bird.py:1194;big_bird/modeling_big_bird.py:1224;big_bird/modeling_big_bird.py:1310;big_bird/modeling_big_bird.py:1371;big_bird/modeling_big_bird.py:1389;big_bird/modeling_big_bird.py:1406;big_bird/modeling_big_bird.py:1417;big_bird/modeling_big_bird.py:1428;big_bird/modeling_big_bird.py:1509;big_bird/modeling_big_bird.py:1802;big_bird/modeling_big_bird.py:1897;big_bird/modeling_big_bird.py:2018;big_bird/modeling_big_bird.py:2098;big_bird/modeling_big_bird.py:2128;big_bird/modeling_big_bird.py:2236;big_bird/modeling_big_bird.py:2330;big_bird/modeling_big_bird.py:2388;big_bird/modeling_big_bird.py:2407,BigBird sparse-attention encoder. Sparse-attention pattern is implemented via gather/index/masked_fill on top of standard SDPA — all compute ops are torch builtins or sdpa+linear+softmax. Construction is wiring-heavy but no missing kernel.
bigbird_pegasus,bigbird_pegasus/modeling_bigbird_pegasus.py,BigBirdPegasusLearnedPositionalEmbedding;BigBirdPegasusScaledWordEmbedding;BigBirdPegasusSelfAttention;BigBirdPegasusBlockSparseAttention;BigBirdPegasusEncoderAttention;BigBirdPegasusDecoderAttention;BigBirdPegasusEncoderLayer;BigBirdPegasusDecoderLayer;BigBirdPegasusClassificationHead;BigBirdPegasusEncoder;BigBirdPegasusDecoder;BigBirdPegasusModel;BigBirdPegasusForConditionalGeneration;BigBirdPegasusForSequenceClassification;BigBirdPegasusForQuestionAnswering;BigBirdPegasusDecoderWrapper;BigBirdPegasusForCausalLM,text,encoder-decoder,composable,BigBirdPegasusLearnedPositionalEmbedding->composes;BigBirdPegasusScaledWordEmbedding->tasks/baseline/L1/embedding.py;BigBirdPegasusSelfAttention->tasks/baseline/L2/encoder_attention.py;BigBirdPegasusBlockSparseAttention->composes;BigBirdPegasusEncoderAttention->composes;BigBirdPegasusDecoderAttention->composes;BigBirdPegasusEncoderLayer->composes;BigBirdPegasusDecoderLayer->composes;BigBirdPegasusClassificationHead->composes;BigBirdPegasusEncoder->composes;BigBirdPegasusDecoder->composes;BigBirdPegasusModel->composes;BigBirdPegasusForConditionalGeneration->composes;BigBirdPegasusForSequenceClassification->composes;BigBirdPegasusForQuestionAnswering->composes;BigBirdPegasusDecoderWrapper->composes;BigBirdPegasusForCausalLM->composes,,bigbird_pegasus/modeling_bigbird_pegasus.py:76;bigbird_pegasus/modeling_bigbird_pegasus.py:98;bigbird_pegasus/modeling_bigbird_pegasus.py:112;bigbird_pegasus/modeling_bigbird_pegasus.py:191;bigbird_pegasus/modeling_bigbird_pegasus.py:1072;bigbird_pegasus/modeling_bigbird_pegasus.py:1177;bigbird_pegasus/modeling_bigbird_pegasus.py:1294;bigbird_pegasus/modeling_bigbird_pegasus.py:1362;bigbird_pegasus/modeling_bigbird_pegasus.py:1457;bigbird_pegasus/modeling_bigbird_pegasus.py:1506;bigbird_pegasus/modeling_bigbird_pegasus.py:1726;bigbird_pegasus/modeling_bigbird_pegasus.py:1856;bigbird_pegasus/modeling_bigbird_pegasus.py:1968;bigbird_pegasus/modeling_bigbird_pegasus.py:2113;bigbird_pegasus/modeling_bigbird_pegasus.py:2227;bigbird_pegasus/modeling_bigbird_pegasus.py:2322;bigbird_pegasus/modeling_bigbird_pegasus.py:2337,"BigBird-Pegasus seq2seq. Encoder uses BigBird sparse attention (composable per big_bird row); decoder is standard. EncoderDecoderCache cover semantic. [v5 inheritance] BigBirdPegasusLearnedPositionalEmbedding(Embedding), BigBirdPegasusScaledWordEmbedding(Embedding), BigBirdPegasusEncoder(BigBirdPegasusPreTrainedModel), BigBirdPegasusDecoder(BigBirdPegasusPreTrainedModel), BigBirdPegasusModel(BigBirdPegasusPreTrainedModel)"
biogpt,biogpt/modeling_biogpt.py,BioGptLearnedPositionalEmbedding;BioGptScaledWordEmbedding;BioGptAttention;BioGptDecoderLayer;BioGptModel;BioGptForCausalLM;BioGptForTokenClassification;BioGptForSequenceClassification,text,decoder-only,composable,BioGptLearnedPositionalEmbedding->composes;BioGptScaledWordEmbedding->tasks/baseline/L1/embedding.py;BioGptAttention->tasks/baseline/L2/attention.py;BioGptDecoderLayer->composes;BioGptModel->composes;BioGptForCausalLM->composes;BioGptForTokenClassification->composes;BioGptForSequenceClassification->composes,,biogpt/modular_biogpt.py:51;biogpt/modular_biogpt.py:62;biogpt/modular_biogpt.py:66;biogpt/modular_biogpt.py:70;biogpt/modular_biogpt.py:153;biogpt/modular_biogpt.py:252;biogpt/modular_biogpt.py:319;biogpt/modular_biogpt.py:403,"BioGPT decoder (GPT-2 architecture variant). Standard decoder primitives. [v5 inheritance] BioGptLearnedPositionalEmbedding(OPTLearnedPositionalEmbedding), BioGptScaledWordEmbedding(BartScaledWordEmbedding), BioGptAttention(BartAttention), BioGptDecoderLayer(BartDecoderLayer), BioGptModel(BioGptPreTrainedModel)"
bit,bit/modeling_bit.py,WeightStandardizedConv2d;BitGroupNormActivation;DynamicPad2d;BitMaxPool2d;BitEmbeddings;BitDropPath;BitPreActivationBottleneckLayer;BitBottleneckLayer;BitDownsampleConv;BitStage;BitEncoder;BitModel;BitForImageClassification;BitBackbone,vision,vision-encoder,composable,WeightStandardizedConv2d->tasks/baseline/L1/conv2d.py;BitGroupNormActivation->composes;DynamicPad2d->composes;BitMaxPool2d->composes;BitEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BitDropPath->composes;BitPreActivationBottleneckLayer->composes;BitBottleneckLayer->composes;BitDownsampleConv->composes;BitStage->composes;BitEncoder->composes;BitModel->composes;BitForImageClassification->composes;BitBackbone->composes,,bit/modeling_bit.py:82;bit/modeling_bit.py:130;bit/modeling_bit.py:148;bit/modeling_bit.py:199;bit/modeling_bit.py:226;bit/modeling_bit.py:293;bit/modeling_bit.py:315;bit/modeling_bit.py:383;bit/modeling_bit.py:456;bit/modeling_bit.py:479;bit/modeling_bit.py:553;bit/modeling_bit.py:652;bit/modeling_bit.py:711;bit/modeling_bit.py:763,"BiT (Big Transfer) ResNet-style CNN with GroupNorm. Head uses nn.AdaptiveAvgPool2d (666) Backbone composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['adaptive_avg_pool_2d'] [v5 inheritance] WeightStandardizedConv2d(Conv2d), BitGroupNormActivation(GroupNorm), BitMaxPool2d(MaxPool2d)"
bitnet,bitnet/modeling_bitnet.py,BitNetRMSNorm;BitNetMLP;BitNetAttention;BitNetDecoderLayer;BitNetModel;BitNetForCausalLM,text,decoder-only,kb_nano_l4,BitNetRMSNorm->tasks/baseline/L1/bitnet_rms_norm.py;BitNetMLP->tasks/baseline/L2/bitnet_mlp.py;BitNetAttention->tasks/baseline/L2/bitnet_attention.py;BitNetDecoderLayer->tasks/baseline/L3/bitnet_decoder.py;BitNetModel->tasks/baseline/L4/bitnet.py;BitNetForCausalLM->tasks/baseline/L4/bitnet.py,,bitnet/modular_bitnet.py:41;bitnet/modular_bitnet.py:45;bitnet/modular_bitnet.py:55;bitnet/modular_bitnet.py:102;bitnet/modular_bitnet.py:106;bitnet/modular_bitnet.py:110,"BitNet 1.58-bit Llama variant. Quantization is at weight-load time (bitlinear); inference path uses standard linear+rmsnorm+rope. modular_bitnet.py exists. [auto-l4-detect] tasks/baseline/L4/bitnet.py exists in kb-nano tree → reclassified composable→kb_nano_l4 [v5 inheritance] BitNetRMSNorm(LlamaRMSNorm), BitNetMLP(GemmaMLP), BitNetAttention(LlamaAttention), BitNetDecoderLayer(LlamaDecoderLayer), BitNetModel(LlamaModel) [v5] L4/bitnet.py exists"
blenderbot,blenderbot/modeling_blenderbot.py,BlenderbotLearnedPositionalEmbedding;BlenderbotScaledWordEmbedding;BlenderbotAttention;BlenderbotEncoderLayer;BlenderbotDecoderLayer;BlenderbotEncoder;BlenderbotDecoder;BlenderbotModel;BlenderbotForConditionalGeneration;BlenderbotDecoderWrapper;BlenderbotForCausalLM,text,encoder-decoder,composable,BlenderbotLearnedPositionalEmbedding->composes;BlenderbotScaledWordEmbedding->tasks/baseline/L1/embedding.py;BlenderbotAttention->tasks/baseline/L2/attention.py;BlenderbotEncoderLayer->composes;BlenderbotDecoderLayer->composes;BlenderbotEncoder->composes;BlenderbotDecoder->composes;BlenderbotModel->composes;BlenderbotForConditionalGeneration->composes;BlenderbotDecoderWrapper->composes;BlenderbotForCausalLM->composes,,blenderbot/modeling_blenderbot.py:65;blenderbot/modeling_blenderbot.py:86;blenderbot/modeling_blenderbot.py:129;blenderbot/modeling_blenderbot.py:247;blenderbot/modeling_blenderbot.py:304;blenderbot/modeling_blenderbot.py:424;blenderbot/modeling_blenderbot.py:515;blenderbot/modeling_blenderbot.py:647;blenderbot/modeling_blenderbot.py:763;blenderbot/modeling_blenderbot.py:908;blenderbot/modeling_blenderbot.py:924,"Blenderbot dialog seq2seq (BART-like). Standard primitives. [v5 inheritance] BlenderbotLearnedPositionalEmbedding(Embedding), BlenderbotScaledWordEmbedding(Embedding)"
blenderbot_small,blenderbot_small/modeling_blenderbot_small.py,BlenderbotSmallLearnedPositionalEmbedding;BlenderbotSmallAttention;BlenderbotSmallEncoderLayer;BlenderbotSmallDecoderLayer;BlenderbotSmallEncoder;BlenderbotSmallDecoder;BlenderbotSmallModel;BlenderbotSmallForConditionalGeneration;BlenderbotSmallDecoderWrapper;BlenderbotSmallForCausalLM,text,encoder-decoder,composable,BlenderbotSmallLearnedPositionalEmbedding->composes;BlenderbotSmallAttention->tasks/baseline/L2/attention.py;BlenderbotSmallEncoderLayer->composes;BlenderbotSmallDecoderLayer->composes;BlenderbotSmallEncoder->composes;BlenderbotSmallDecoder->composes;BlenderbotSmallModel->composes;BlenderbotSmallForConditionalGeneration->composes;BlenderbotSmallDecoderWrapper->composes;BlenderbotSmallForCausalLM->composes,,blenderbot_small/modeling_blenderbot_small.py:66;blenderbot_small/modeling_blenderbot_small.py:116;blenderbot_small/modeling_blenderbot_small.py:234;blenderbot_small/modeling_blenderbot_small.py:286;blenderbot_small/modeling_blenderbot_small.py:395;blenderbot_small/modeling_blenderbot_small.py:483;blenderbot_small/modeling_blenderbot_small.py:611;blenderbot_small/modeling_blenderbot_small.py:727;blenderbot_small/modeling_blenderbot_small.py:872;blenderbot_small/modeling_blenderbot_small.py:888,Smaller variant of Blenderbot; same primitives. [v5 inheritance] BlenderbotSmallLearnedPositionalEmbedding(Embedding)
blip,blip/modeling_blip.py,BlipVisionEmbeddings;BlipTextEmbeddings;BlipAttention;BlipMLP;BlipEncoderLayer;BlipEncoder;BlipVisionModel;BlipModel;BlipForConditionalGeneration;BlipForQuestionAnswering;BlipForImageTextRetrieval,multimodal,other,composable,BlipVisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;BlipTextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BlipAttention->tasks/baseline/L2/attention.py;BlipMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;BlipEncoderLayer->composes;BlipEncoder->composes;BlipVisionModel->composes;BlipModel->composes;BlipForConditionalGeneration->composes;BlipForQuestionAnswering->composes;BlipForImageTextRetrieval->composes,,blip/modeling_blip.py:183;blip/modeling_blip.py:258;blip/modeling_blip.py:298;blip/modeling_blip.py:361;blip/modeling_blip.py:376;blip/modeling_blip.py:431;blip/modeling_blip.py:463;blip/modeling_blip.py:522;blip/modeling_blip.py:782;blip/modeling_blip.py:955;blip/modeling_blip.py:1178,BLIP vision-language model (vision tower + projector). Text path is in modeling_blip_text.py. Standard ViT primitives only.
blip,blip/modeling_blip_text.py,BlipTextEmbeddings;BlipTextSelfAttention;BlipTextAttention;BlipTextIntermediate;BlipTextLayer;BlipTextEncoder;BlipTextPooler;BlipTextPredictionHeadTransform;BlipTextLMPredictionHead;BlipTextOnlyMLMHead;BlipTextModel;BlipTextLMHeadModel,text,encoder-decoder,composable,BlipTextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BlipTextSelfAttention->tasks/baseline/L2/encoder_attention.py;BlipTextAttention->composes;BlipTextIntermediate->tasks/baseline/L2/encoder_mlp.py;BlipTextLayer->composes;BlipTextEncoder->composes;BlipTextPooler->composes;BlipTextPredictionHeadTransform->composes;BlipTextLMPredictionHead->composes;BlipTextOnlyMLMHead->composes;BlipTextModel->composes;BlipTextLMHeadModel->composes,,blip/modeling_blip_text.py:45;blip/modeling_blip_text.py:94;blip/modeling_blip_text.py:218;blip/modeling_blip_text.py:243;blip/modeling_blip_text.py:273;blip/modeling_blip_text.py:322;blip/modeling_blip_text.py:373;blip/modeling_blip_text.py:389;blip/modeling_blip_text.py:407;blip/modeling_blip_text.py:424;blip/modeling_blip_text.py:461;blip/modeling_blip_text.py:666,BLIP text encoder+decoder (BERT-style with cross-attention). Standard encoder primitives + cross-attn KV cache.
blip_2,blip_2/modeling_blip_2.py,Blip2VisionEmbeddings;Blip2Attention;Blip2MLP;Blip2EncoderLayer;Blip2Encoder;Blip2VisionModel;Blip2QFormerMultiHeadAttention;Blip2QFormerAttention;Blip2QFormerIntermediate;Blip2QFormerLayer;Blip2QFormerEncoder;Blip2TextEmbeddings;Blip2QFormerModel;Blip2Model;Blip2TextModelWithProjection;Blip2VisionModelWithProjection;Blip2ForConditionalGeneration;Blip2ForImageTextRetrieval,multimodal,other,composable,Blip2VisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;Blip2Attention->tasks/baseline/L2/attention.py;Blip2MLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;Blip2EncoderLayer->composes;Blip2Encoder->composes;Blip2VisionModel->composes;Blip2QFormerMultiHeadAttention->tasks/baseline/L2/encoder_attention.py;Blip2QFormerAttention->tasks/baseline/L2/attention.py;Blip2QFormerIntermediate->tasks/baseline/L2/encoder_mlp.py;Blip2QFormerLayer->composes;Blip2QFormerEncoder->composes;Blip2TextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;Blip2QFormerModel->composes;Blip2Model->composes;Blip2TextModelWithProjection->composes;Blip2VisionModelWithProjection->composes;Blip2ForConditionalGeneration->composes;Blip2ForImageTextRetrieval->composes,,blip_2/modeling_blip_2.py:184;blip_2/modeling_blip_2.py:282;blip_2/modeling_blip_2.py:357;blip_2/modeling_blip_2.py:373;blip_2/modeling_blip_2.py:450;blip_2/modeling_blip_2.py:483;blip_2/modeling_blip_2.py:537;blip_2/modeling_blip_2.py:651;blip_2/modeling_blip_2.py:677;blip_2/modeling_blip_2.py:707;blip_2/modeling_blip_2.py:793;blip_2/modeling_blip_2.py:829;blip_2/modeling_blip_2.py:879;blip_2/modeling_blip_2.py:1045;blip_2/modeling_blip_2.py:1373;blip_2/modeling_blip_2.py:1458;blip_2/modeling_blip_2.py:1559;blip_2/modeling_blip_2.py:1936,BLIP-2 ViT vision tower + Q-Former (transformer) + frozen text LLM. All primitives standard. [v5 inheritance] BaseModelOutputWithVisionQformerOutputs(BaseModelOutputWithPooling)
bloom,bloom/modeling_bloom.py,GeLUFunction;BloomGelu;BloomAttention;BloomMLP;BloomBlock;BloomModel;BloomForCausalLM;BloomForSequenceClassification;BloomForTokenClassification;BloomForQuestionAnswering,text,decoder-only,composable,GeLUFunction->composes;BloomGelu->composes;BloomAttention->tasks/baseline/L2/attention.py;BloomMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;BloomBlock->composes;BloomModel->composes;BloomForCausalLM->composes;BloomForSequenceClassification->composes;BloomForTokenClassification->composes;BloomForQuestionAnswering->composes,,bloom/modeling_bloom.py:138;bloom/modeling_bloom.py:151;bloom/modeling_bloom.py:163;bloom/modeling_bloom.py:310;bloom/modeling_bloom.py:341;bloom/modeling_bloom.py:413;bloom/modeling_bloom.py:557;bloom/modeling_bloom.py:692;bloom/modeling_bloom.py:808;bloom/modeling_bloom.py:897,"Bloom GPT-style decoder with ALiBi positional bias (mask-construction, no kernel change). Standard decoder primitives. [v5 inheritance] GeLUFunction(Function)"
blt,blt/modeling_blt.py,BltMLP;BltRMSNorm;BltRotaryEmbedding;BltTransformerLayer;BltSelfAttention;BltCrossAttention;BltLocalEncoder;BltLocalDecoder;BltGlobalTransformer;BltPatcher;BltModel;BltForCausalLM,text,decoder-only,composable,BltMLP->tasks/baseline/L2/llama_mlp.py;BltRMSNorm->tasks/baseline/L1/rms_norm.py;BltRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;BltTransformerLayer->composes;BltSelfAttention->tasks/baseline/L2/encoder_attention.py;BltCrossAttention->tasks/baseline/L2/encoder_attention.py;BltLocalEncoder->composes;BltLocalDecoder->composes;BltGlobalTransformer->composes;BltPatcher->composes;BltModel->composes;BltForCausalLM->composes,,blt/modular_blt.py:265;blt/modular_blt.py:269;blt/modular_blt.py:273;blt/modular_blt.py:290;blt/modular_blt.py:300;blt/modular_blt.py:305;blt/modular_blt.py:530;blt/modular_blt.py:643;blt/modular_blt.py:719;blt/modular_blt.py:771;blt/modular_blt.py:904;blt/modular_blt.py:1084,"BLT byte-level transformer (Llama-like decoder over byte tokens). Standard primitives. [v5 inheritance] BltMLP(MllamaTextMLP), BltRMSNorm(MllamaTextRMSNorm), BltRotaryEmbedding(LlamaRotaryEmbedding), BltTransformerLayer(MllamaSelfAttentionDecoderLayer), BltSelfAttention(MllamaTextSelfAttention)"
